""," 10th"," 11th"," 12th"," 1st-4th"," 5th-6th"," 7th-8th"," 9th"," Assoc-acdm"," Assoc-voc"," Bachelors"," Doctorate"," HS-grad"," Masters"," Preschool"," Prof-school"," Some-college"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
"2",0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,498,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,402,0,0,0,0,0,0,0,0,0
"6",726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,897,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,355,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,8064,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5585
"11",0,0,0,0,0,0,0,0,1062,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,822,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,4105,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,1304,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0
"16",0,0,0,0,0,0,0,0,0,0,311,0,0,0,0,0
